,first_name,last_name,party,gender,chamber,congress_number,DOB,method,proportion_male,proportion_female,predicted_gender,final_gender
2096,Paul,Sarbanes,D,M,senate,99,1933.0,ssa,,,,M
2097,James,Sasser,D,M,senate,99,1936.0,ssa,,,,M
2098,Paul,Simon,D,M,senate,99,1928.0,ipums,,,,M
2099,Alan,Simpson,R,M,senate,99,1931.0,ssa,,,,M
2100,Arlen,Specter,R,M,senate,99,1930.0,ssa,,,,M
2101,Robert,Stafford,R,M,senate,99,1913.0,ipums,,,,M
2102,John,Stennis,D,M,senate,99,1901.0,ipums,,,,M
2103,Ted,Stevens,R,M,senate,99,1923.0,ipums,,,,M
2105,Strom,Thurmond,R,M,senate,99,1902.0,ipums,,,,M
2106,Paul,Trible,R,M,senate,99,1946.0,ssa,,,,M
2107,Malcolm,Wallop,R,M,senate,99,1933.0,ssa,,,,M
2108,John,Warner,R,M,senate,99,1927.0,ipums,,,,M
2110,Pete,Wilson,R,M,senate,99,1933.0,ssa,,,,M
2111,Edward,Zorinsky,D,M,senate,99,1928.0,ipums,,,,M
2113,William,Armstrong,R,M,senate,100,1937.0,ssa,,,,M
2114,Max,Baucus,D,M,senate,100,1941.0,ssa,,,,M
2116,Joseph,Biden,D,M,senate,100,1942.0,ssa,,,,M
2117,Jeff,Bingaman,D,M,senate,100,1943.0,ssa,,,,M
2118,Christopher,Bond,R,M,senate,100,1939.0,ssa,,,,M
2119,David,Boren,D,M,senate,100,1941.0,ssa,,,,M
2121,William,Bradley,D,M,senate,100,1943.0,ssa,,,,M
2122,John,Breaux,D,M,senate,100,1944.0,ssa,,,,M
2123,Dale,Bumpers,D,M,senate,100,1925.0,ipums,,,,M
2125,Robert,Byrd,D,M,senate,100,1917.0,ipums,,,,M
2126,John,Chafee,R,M,senate,100,1922.0,ipums,,,,M
2128,Thad,Cochran,R,M,senate,100,1937.0,ssa,,,,M
2129,William,Cohen,R,M,senate,100,1940.0,ssa,,,,M
2130,Kent,Conrad,D,M,senate,100,1948.0,ssa,,,,M
2132,Alfonse,D'Amato,R,M,senate,100,1937.0,ssa,,,,M
2133,John,Danforth,R,M,senate,100,1936.0,ssa,,,,M
2134,Thomas,Daschle,D,M,senate,100,1947.0,ssa,,,,M
2135,Dennis,DeConcini,D,M,senate,100,1937.0,ssa,,,,M
2137,Christopher,Dodd,D,M,senate,100,1944.0,ssa,,,,M
2138,Robert,Dole,R,M,senate,100,1923.0,ipums,,,,M
2139,Pete,Domenici,R,M,senate,100,1932.0,ssa,,,,M
2140,David,Durenberger,R,M,senate,100,1934.0,ssa,,,,M
2141,Daniel,Evans,R,M,senate,100,1925.0,ipums,,,,M
2142,J. James,Exon,D,M,senate,100,1921.0,ipums,,,,M
2143,Wendell,Ford,D,M,senate,100,1924.0,ipums,,,,M
2145,Edwin,Garn,R,M,senate,100,1932.0,ssa,,,,M
2146,John,Glenn,D,M,senate,100,1921.0,ipums,,,,M
2147,Albert,Gore,D,M,senate,100,1948.0,ssa,,,,M
2148,Bob,Graham,D,M,senate,100,1936.0,ssa,,,,M
2149,Phil,Gramm,R,M,senate,100,1942.0,ssa,,,,M
2150,Charles,Grassley,R,M,senate,100,1933.0,ssa,,,,M
2151,Tom,Harkin,D,M,senate,100,1939.0,ssa,,,,M
2152,Orrin,Hatch,R,M,senate,100,1934.0,ssa,,,,M
2153,Mark,Hatfield,R,M,senate,100,1922.0,ipums,,,,M
2154,Jacob,Hecht,R,M,senate,100,1928.0,ipums,,,,M
2155,Howell,Heflin,D,M,senate,100,1921.0,ipums,,,,M
2156,Henry,Heinz,R,M,senate,100,1938.0,ssa,,,,M
2157,Jesse,Helms,R,M,senate,100,1921.0,ipums,,,,M
2158,Ernest,Hollings,D,M,senate,100,1922.0,ipums,,,,M
2160,Daniel,Inouye,D,M,senate,100,1924.0,ipums,,,,M
2161,John,Johnston,D,M,senate,100,1932.0,ssa,,,,M
2162,David,Karnes,R,M,senate,100,1948.0,ssa,,,,M
2163,Nancy,Kassebaum,R,F,senate,100,1932.0,ssa,,,,F
2164,Robert,Kasten,R,M,senate,100,1942.0,ssa,,,,M
2165,Edward,Kennedy,D,M,senate,100,1932.0,ssa,,,,M
2166,John,Kerry,D,M,senate,100,1943.0,ssa,,,,M
2167,Frank,Lautenberg,D,M,senate,100,1924.0,ipums,,,,M
2168,Patrick,Leahy,D,M,senate,100,1940.0,ssa,,,,M
2169,Carl,Levin,D,M,senate,100,1934.0,ssa,,,,M
2170,Richard,Lugar,R,M,senate,100,1932.0,ssa,,,,M
2172,John,McCain,R,M,senate,100,1936.0,ssa,,,,M
2173,James,McClure,R,M,senate,100,1924.0,ipums,,,,M
2174,Mitch,McConnell,R,M,senate,100,1942.0,ssa,,,,M
2175,John,Melcher,D,M,senate,100,1924.0,ipums,,,,M
2176,Howard,Metzenbaum,D,M,senate,100,1917.0,ipums,,,,M
2177,Barbara,Mikulski,D,F,senate,100,1936.0,ssa,,,,F
2178,George,Mitchell,D,M,senate,100,1933.0,ssa,,,,M
2179,Daniel,Moynihan,D,M,senate,100,1927.0,ipums,,,,M
2180,Frank,Murkowski,R,M,senate,100,1933.0,ssa,,,,M
2181,Don,Nickles,R,M,senate,100,1948.0,ssa,,,,M
2182,Samuel,Nunn,D,M,senate,100,1938.0,ssa,,,,M
2183,Robert,Packwood,R,M,senate,100,1932.0,ssa,,,,M
2184,Claiborne,Pell,D,M,senate,100,1918.0,ipums,,,,M
2186,William,Proxmire,D,M,senate,100,1915.0,ipums,,,,M
2187,David,Pryor,D,M,senate,100,1934.0,ssa,,,,M
2188,James,Quayle,R,M,senate,100,1947.0,ssa,,,,M
2189,Harry,Reid,D,M,senate,100,1939.0,ssa,,,,M
2190,Donald,Riegle,D,M,senate,100,1938.0,ssa,,,,M
2191,John,Rockefeller,D,M,senate,100,1937.0,ssa,,,,M
2192,William,Roth,R,M,senate,100,1921.0,ipums,,,,M
2193,Warren,Rudman,R,M,senate,100,1930.0,ssa,,,,M
2194,James,Sanford,D,M,senate,100,1917.0,ipums,,,,M
2195,Paul,Sarbanes,D,M,senate,100,1933.0,ssa,,,,M
2196,James,Sasser,D,M,senate,100,1936.0,ssa,,,,M
2197,Richard,Shelby,D,M,senate,100,1934.0,ssa,,,,M
2198,Paul,Simon,D,M,senate,100,1928.0,ipums,,,,M
2199,Alan,Simpson,R,M,senate,100,1931.0,ssa,,,,M
2200,Arlen,Specter,R,M,senate,100,1930.0,ssa,,,,M
2201,Robert,Stafford,R,M,senate,100,1913.0,ipums,,,,M
2202,John,Stennis,D,M,senate,100,1901.0,ipums,,,,M
2203,Ted,Stevens,R,M,senate,100,1923.0,ipums,,,,M
2205,Strom,Thurmond,R,M,senate,100,1902.0,ipums,,,,M
2206,Paul,Trible,R,M,senate,100,1946.0,ssa,,,,M
2207,Malcolm,Wallop,R,M,senate,100,1933.0,ssa,,,,M
2208,John,Warner,R,M,senate,100,1927.0,ipums,,,,M
2210,Pete,Wilson,R,M,senate,100,1933.0,ssa,,,,M
2211,Timothy,Wirth,D,M,senate,100,1939.0,ssa,,,,M
2212,Edward,Zorinsky,D,M,senate,100,1928.0,ipums,,,,M
2214,Daniel,Akaka,D,M,senate,101,1924.0,ipums,,,,M
2215,William,Armstrong,R,M,senate,101,1937.0,ssa,,,,M
2216,Max,Baucus,D,M,senate,101,1941.0,ssa,,,,M
2218,Joseph,Biden,D,M,senate,101,1942.0,ssa,,,,M
2219,Jeff,Bingaman,D,M,senate,101,1943.0,ssa,,,,M
2220,Christopher,Bond,R,M,senate,101,1939.0,ssa,,,,M
2221,David,Boren,D,M,senate,101,1941.0,ssa,,,,M
2223,William,Bradley,D,M,senate,101,1943.0,ssa,,,,M
2224,John,Breaux,D,M,senate,101,1944.0,ssa,,,,M
2225,Richard,Bryan,D,M,senate,101,1937.0,ssa,,,,M
2226,Dale,Bumpers,D,M,senate,101,1925.0,ipums,,,,M
2228,Conrad,Burns,R,M,senate,101,1935.0,ssa,,,,M
2229,Robert,Byrd,D,M,senate,101,1917.0,ipums,,,,M
2230,John,Chafee,R,M,senate,101,1922.0,ipums,,,,M
2231,Daniel,Coats,R,M,senate,101,1943.0,ssa,,,,M
2232,Thad,Cochran,R,M,senate,101,1937.0,ssa,,,,M
2233,William,Cohen,R,M,senate,101,1940.0,ssa,,,,M
2234,Kent,Conrad,D,M,senate,101,1948.0,ssa,,,,M
2236,Alfonse,D'Amato,R,M,senate,101,1937.0,ssa,,,,M
2237,John,Danforth,R,M,senate,101,1936.0,ssa,,,,M
2238,Thomas,Daschle,D,M,senate,101,1947.0,ssa,,,,M
2239,Dennis,DeConcini,D,M,senate,101,1937.0,ssa,,,,M
2241,Christopher,Dodd,D,M,senate,101,1944.0,ssa,,,,M
2242,Robert,Dole,R,M,senate,101,1923.0,ipums,,,,M
2243,Pete,Domenici,R,M,senate,101,1932.0,ssa,,,,M
2244,David,Durenberger,R,M,senate,101,1934.0,ssa,,,,M
2245,J. James,Exon,D,M,senate,101,1921.0,ipums,,,,M
2246,Wendell,Ford,D,M,senate,101,1924.0,ipums,,,,M
2248,Edwin,Garn,R,M,senate,101,1932.0,ssa,,,,M
2249,John,Glenn,D,M,senate,101,1921.0,ipums,,,,M
2250,Albert,Gore,D,M,senate,101,1948.0,ssa,,,,M
2251,Slade,Gorton,R,M,senate,101,1928.0,ipums,,,,M
2252,Bob,Graham,D,M,senate,101,1936.0,ssa,,,,M
2253,Phil,Gramm,R,M,senate,101,1942.0,ssa,,,,M
2254,Charles,Grassley,R,M,senate,101,1933.0,ssa,,,,M
2255,Tom,Harkin,D,M,senate,101,1939.0,ssa,,,,M
2256,Orrin,Hatch,R,M,senate,101,1934.0,ssa,,,,M
2257,Mark,Hatfield,R,M,senate,101,1922.0,ipums,,,,M
2258,Howell,Heflin,D,M,senate,101,1921.0,ipums,,,,M
2259,Henry,Heinz,R,M,senate,101,1938.0,ssa,,,,M
2260,Jesse,Helms,R,M,senate,101,1921.0,ipums,,,,M
2261,Ernest,Hollings,D,M,senate,101,1922.0,ipums,,,,M
2263,Daniel,Inouye,D,M,senate,101,1924.0,ipums,,,,M
2264,James,Jeffords,R,M,senate,101,1934.0,ssa,,,,M
2265,John,Johnston,D,M,senate,101,1932.0,ssa,,,,M
2266,Nancy,Kassebaum,R,F,senate,101,1932.0,ssa,,,,F
2267,Robert,Kasten,R,M,senate,101,1942.0,ssa,,,,M
2268,Edward,Kennedy,D,M,senate,101,1932.0,ssa,,,,M
2269,J. Robert,Kerrey,D,M,senate,101,1943.0,ssa,,,,M
2270,John,Kerry,D,M,senate,101,1943.0,ssa,,,,M
2271,Herb,Kohl,D,M,senate,101,1935.0,ssa,,,,M
2272,Frank,Lautenberg,D,M,senate,101,1924.0,ipums,,,,M
2273,Patrick,Leahy,D,M,senate,101,1940.0,ssa,,,,M
2274,Carl,Levin,D,M,senate,101,1934.0,ssa,,,,M
2275,Joseph,Lieberman,D,M,senate,101,1942.0,ssa,,,,M
2276,Trent,Lott,R,M,senate,101,1941.0,ssa,,,,M
2277,Richard,Lugar,R,M,senate,101,1932.0,ssa,,,,M
2278,Connie,Mack,R,M,senate,101,1940.0,ssa,,,,M
2280,John,McCain,R,M,senate,101,1936.0,ssa,,,,M
2281,James,McClure,R,M,senate,101,1924.0,ipums,,,,M
2282,Mitch,McConnell,R,M,senate,101,1942.0,ssa,,,,M
2283,Howard,Metzenbaum,D,M,senate,101,1917.0,ipums,,,,M
2284,Barbara,Mikulski,D,F,senate,101,1936.0,ssa,,,,F
2285,George,Mitchell,D,M,senate,101,1933.0,ssa,,,,M
2286,Daniel,Moynihan,D,M,senate,101,1927.0,ipums,,,,M
2287,Frank,Murkowski,R,M,senate,101,1933.0,ssa,,,,M
2288,Don,Nickles,R,M,senate,101,1948.0,ssa,,,,M
2289,Samuel,Nunn,D,M,senate,101,1938.0,ssa,,,,M
2290,Robert,Packwood,R,M,senate,101,1932.0,ssa,,,,M
2291,Claiborne,Pell,D,M,senate,101,1918.0,ipums,,,,M
2293,David,Pryor,D,M,senate,101,1934.0,ssa,,,,M
2294,Harry,Reid,D,M,senate,101,1939.0,ssa,,,,M
2295,Donald,Riegle,D,M,senate,101,1938.0,ssa,,,,M
2296,Charles,Robb,D,M,senate,101,1939.0,ssa,,,,M
2297,John,Rockefeller,D,M,senate,101,1937.0,ssa,,,,M
2298,William,Roth,R,M,senate,101,1921.0,ipums,,,,M
2299,Warren,Rudman,R,M,senate,101,1930.0,ssa,,,,M
2300,James,Sanford,D,M,senate,101,1917.0,ipums,,,,M
2301,Paul,Sarbanes,D,M,senate,101,1933.0,ssa,,,,M
2302,James,Sasser,D,M,senate,101,1936.0,ssa,,,,M
2303,Richard,Shelby,D,M,senate,101,1934.0,ssa,,,,M
2304,Paul,Simon,D,M,senate,101,1928.0,ipums,,,,M
2305,Alan,Simpson,R,M,senate,101,1931.0,ssa,,,,M
2306,Arlen,Specter,R,M,senate,101,1930.0,ssa,,,,M
2307,Ted,Stevens,R,M,senate,101,1923.0,ipums,,,,M
2309,Strom,Thurmond,R,M,senate,101,1902.0,ipums,,,,M
2310,Malcolm,Wallop,R,M,senate,101,1933.0,ssa,,,,M
2311,John,Warner,R,M,senate,101,1927.0,ipums,,,,M
2312,Pete,Wilson,R,M,senate,101,1933.0,ssa,,,,M
2313,Timothy,Wirth,D,M,senate,101,1939.0,ssa,,,,M
2314,Neil,Abercrombie,D,M,house,102,1938.0,ssa,,,,M
2315,Gary,Ackerman,D,M,house,102,1942.0,ssa,,,,M
2316,William,Alexander,D,M,house,102,1934.0,ssa,,,,M
2317,Wayne,Allard,R,M,house,102,1943.0,ssa,,,,M
2318,George,Allen,R,M,house,102,1952.0,ssa,,,,M
2320,Thomas,Andrews,D,M,house,102,1953.0,ssa,,,,M
2321,Michael,Andrews,D,M,house,102,1944.0,ssa,,,,M
2322,Robert,Andrews,D,M,house,102,1957.0,ssa,,,,M
2323,Frank,Annunzio,D,M,house,102,1915.0,ipums,,,,M
2325,Douglas,Applegate,D,M,house,102,1928.0,ipums,,,,M
2326,Bill,Archer,R,M,house,102,1928.0,ipums,,,,M
2327,Richard,Armey,R,M,house,102,1940.0,ssa,,,,M
2328,Leslie,Aspin,D,M,house,102,1938.0,ssa,,,,M
2329,Chester,Atkins,D,M,house,102,1948.0,ssa,,,,M
2331,Jim,Bacchus,D,M,house,102,1949.0,ssa,,,,M
2332,Richard,Baker,R,M,house,102,1948.0,ssa,,,,M
2333,Cass,Ballenger,R,M,house,102,1926.0,ipums,,,,M
2335,Bill,Barrett,R,M,house,102,1929.0,ipums,,,,M
2336,Harry,Bartlett,R,M,house,102,1947.0,ssa,,,,M
2337,Joe,Barton,R,M,house,102,1949.0,ssa,,,,M
2338,Herbert,Bateman,R,M,house,102,1928.0,ipums,,,,M
2339,Anthony,Beilenson,D,M,house,102,1932.0,ssa,,,,M
2340,Charles,Bennett,D,M,house,102,1910.0,ipums,,,,M
2341,Helen,Bentley,R,F,house,102,1923.0,ipums,,,,F
2342,Douglas,Bereuter,R,M,house,102,1939.0,ssa,,,,M
2343,Howard,Berman,D,M,house,102,1941.0,ssa,,,,M
2344,Tom,Bevill,D,M,house,102,1921.0,ipums,,,,M
2345,James,Bilbray,D,M,house,102,1938.0,ssa,,,,M
2346,Michael,Bilirakis,R,M,house,102,1930.0,ssa,,,,M
2347,Lucien,Blackwell,D,M,house,102,1931.0,ssa,,,,M
2349,Tom,Bliley,R,M,house,102,1932.0,ssa,,,,M
2350,Sherwood,Boehlert,R,M,house,102,1936.0,ssa,,,,M
2351,John,Boehner,R,M,house,102,1949.0,ssa,,,,M
2352,David,Bonior,D,M,house,102,1945.0,ssa,,,,M
2353,Robert,Borski,D,M,house,102,1948.0,ssa,,,,M
2354,Rick,Boucher,D,M,house,102,1946.0,ssa,,,,M
2355,Barbara,Boxer,D,F,house,102,1940.0,ssa,,,,F
2356,Bill,Brewster,D,M,house,102,1941.0,ssa,,,,M
2357,Jack,Brooks,D,M,house,102,1922.0,ipums,,,,M
2358,William,Broomfield,R,M,house,102,1922.0,ipums,,,,M
2359,Glen,Browder,D,M,house,102,1943.0,ssa,,,,M
2360,George,Brown,D,M,house,102,1920.0,ipums,,,,M
2362,John,Bryant,D,M,house,102,1947.0,ssa,,,,M
2363,Jim,Bunning,R,M,house,102,1931.0,ssa,,,,M
2364,Dan,Burton,R,M,house,102,1938.0,ssa,,,,M
2365,Albert,Bustamante,D,M,house,102,1935.0,ssa,,,,M
2366,Beverly,Byron,D,F,house,102,1932.0,ssa,,,,F
2368,Dave,Camp,R,M,house,102,1953.0,ssa,,,,M
2369,Ben,Campbell,D,M,house,102,1933.0,ssa,,,,M
2370,Tom,Campbell,R,M,house,102,1952.0,ssa,,,,M
2371,Benjamin,Cardin,D,M,house,102,1943.0,ssa,,,,M
2372,Thomas,Carper,D,M,house,102,1947.0,ssa,,,,M
2373,Bob,Carr,D,M,house,102,1943.0,ssa,,,,M
2375,Jim,Chapman,D,M,house,102,1945.0,ssa,,,,M
2376,William,Clay,D,M,house,102,1931.0,ssa,,,,M
2377,Bob,Clement,D,M,house,102,1943.0,ssa,,,,M
2378,William,Clinger,R,M,house,102,1929.0,ipums,,,,M
2379,Howard,Coble,R,M,house,102,1931.0,ssa,,,,M
2380,Ronald,Coleman,D,M,house,102,1941.0,ssa,,,,M
2381,Earl,Coleman,R,M,house,102,1943.0,ssa,,,,M
2382,Cardiss,Collins,D,F,house,102,1931.0,ssa,,,,F
2383,Barbara-Rose,Collins,D,F,house,102,1939.0,ssa,,,,F
2385,Larry,Combest,R,M,house,102,1945.0,ssa,,,,M
2386,Gary,Condit,D,M,house,102,1948.0,ssa,,,,M
2388,John,Conyers,D,M,house,102,1929.0,ipums,,,,M
2389,Jim,Cooper,D,M,house,102,1954.0,ssa,,,,M
2390,Jerry,Costello,D,M,house,102,1949.0,ssa,,,,M
2391,Robert,Coughlin,R,M,house,102,1929.0,ipums,,,,M
2392,Christopher,Cox,R,M,house,102,1952.0,ssa,,,,M
2393,John,Cox,D,M,house,102,1947.0,ssa,,,,M
2394,William,Coyne,D,M,house,102,1936.0,ssa,,,,M
2395,Robert,Cramer,D,M,house,102,1947.0,ssa,,,,M
2396,Philip,Crane,R,M,house,102,1930.0,ssa,,,,M
2397,Randy,Cunningham,R,M,house,102,1941.0,ssa,,,,M
2398,William,Dannemeyer,R,M,house,102,1929.0,ipums,,,,M
2399,George,Darden,D,M,house,102,1943.0,ssa,,,,M
2400,Robert,Davis,R,M,house,102,1932.0,ssa,,,,M
2401,Eligio,de la Garza,D,M,house,102,1927.0,ipums,,,,M
2402,Ron,de Lugo,D,M,house,102,1930.0,ssa,,,,M
2403,Peter,DeFazio,D,M,house,102,1947.0,ssa,,,,M
2404,Rosa,DeLauro,D,F,house,102,1943.0,ssa,,,,F
2405,Thomas,DeLay,R,M,house,102,1947.0,ssa,,,,M
2406,Ronald,Dellums,D,M,house,102,1935.0,ssa,,,,M
2407,Butler,Derrick,D,M,house,102,1936.0,ssa,,,,M
2408,William,Dickinson,R,M,house,102,1925.0,ipums,,,,M
2409,Norman,Dicks,D,M,house,102,1940.0,ssa,,,,M
2410,John,Dingell,D,M,house,102,1926.0,ipums,,,,M
2411,Julian,Dixon,D,M,house,102,1934.0,ssa,,,,M
2413,Calvin,Dooley,D,M,house,102,1954.0,ssa,,,,M
2414,John,Doolittle,R,M,house,102,1950.0,ssa,,,,M
2415,Byron,Dorgan,D,M,house,102,1942.0,ssa,,,,M
2416,Robert,Dornan,R,M,house,102,1933.0,ssa,,,,M
2417,Thomas,Downey,D,M,house,102,1949.0,ssa,,,,M
2418,David,Dreier,R,M,house,102,1952.0,ssa,,,,M
2419,John,Duncan,R,M,house,102,1947.0,ssa,,,,M
2420,Richard,Durbin,D,M,house,102,1944.0,ssa,,,,M
2423,Joseph,Early,D,M,house,102,1933.0,ssa,,,,M
2426,Don,Edwards,D,M,house,102,1915.0,ipums,,,,M
2427,Chet,Edwards,D,M,house,102,1951.0,ssa,,,,M
2428,Bill,Emerson,R,M,house,102,1938.0,ssa,,,,M
2429,Eliot,Engel,D,M,house,102,1947.0,ssa,,,,M
2430,Glenn,English,D,M,house,102,1940.0,ssa,,,,M
2432,Mike,Espy,D,M,house,102,1953.0,ssa,,,,M
2433,Lane,Evans,D,M,house,102,1951.0,ssa,,,,M
2434,Thomas,Ewing,R,M,house,102,1935.0,ssa,,,,M
2435,Eni,Faleomavaega,D,M,house,102,1943.0,ssa,,,,M
2437,Harris,Fawell,R,M,house,102,1929.0,ipums,,,,M
2438,Vic,Fazio,D,M,house,102,1942.0,ssa,,,,M
2439,Edward,Feighan,D,M,house,102,1947.0,ssa,,,,M
2440,Jack,Fields,R,M,house,102,1952.0,ssa,,,,M
2441,Hamilton,Fish,R,M,house,102,1926.0,ipums,,,,M
2442,Floyd,Flake,D,M,house,102,1945.0,ssa,,,,M
2443,Tom,Foglietta,D,M,house,102,1928.0,ipums,,,,M
2444,Thomas,Foley,D,M,house,102,1929.0,ipums,,,,M
2445,William,Ford,D,M,house,102,1927.0,ipums,,,,M
2446,Harold,Ford,D,M,house,102,1945.0,ssa,,,,M
2447,Barney,Frank,D,M,house,102,1940.0,ssa,,,,M
2448,Gary,Franks,R,M,house,102,1953.0,ssa,,,,M
2449,Martin,Frost,D,M,house,102,1942.0,ssa,,,,M
2450,Jaime,Fuster,D,M,house,102,1941.0,ssa,,,,M
2451,Elton,Gallegly,R,M,house,102,1944.0,ssa,,,,M
2452,Dean,Gallo,R,M,house,102,1935.0,ssa,,,,M
2453,Joseph,Gaydos,D,M,house,102,1926.0,ipums,,,,M
2454,Sam,Gejdenson,D,M,house,102,1948.0,ssa,,,,M
2455,George,Gekas,R,M,house,102,1930.0,ssa,,,,M
2456,Richard,Gephardt,D,M,house,102,1941.0,ssa,,,,M
2457,Pete,Geren,D,M,house,102,1952.0,ssa,,,,M
2458,Sam,Gibbons,D,M,house,102,1920.0,ipums,,,,M
2459,Wayne,Gilchrest,R,M,house,102,1946.0,ssa,,,,M
2460,Paul,Gillmor,R,M,house,102,1939.0,ssa,,,,M
2461,Benjamin,Gilman,R,M,house,102,1922.0,ipums,,,,M
2462,Newt,Gingrich,R,M,house,102,1943.0,ssa,,,,M
2463,Dan,Glickman,D,M,house,102,1944.0,ssa,,,,M
2464,Henry,Gonzalez,D,M,house,102,1916.0,ipums,,,,M
2465,William,Goodling,R,M,house,102,1927.0,ipums,,,,M
2466,Bart,Gordon,D,M,house,102,1949.0,ssa,,,,M
2467,Porter,Goss,R,M,house,102,1938.0,ssa,,,,M
2468,Willis,Gradison,R,M,house,102,1928.0,ipums,,,,M
2469,Fred,Grandy,R,M,house,102,1948.0,ssa,,,,M
2470,William,Gray,D,M,house,102,1941.0,ssa,,,,M
2472,Frank,Guarini,D,M,house,102,1924.0,ipums,,,,M
2473,Steve,Gunderson,R,M,house,102,1951.0,ssa,,,,M
2474,Ralph,Hall,D,M,house,102,1923.0,ipums,,,,M
2475,Tony,Hall,D,M,house,102,1942.0,ssa,,,,M
2476,Lee,Hamilton,D,M,house,102,1931.0,ssa,,,,M
2477,John,Hammerschmidt,R,M,house,102,1922.0,ipums,,,,M
2478,Melton,Hancock,R,M,house,102,1929.0,ipums,,,,M
2479,James,Hansen,R,M,house,102,1932.0,ssa,,,,M
2481,J. Dennis,Hastert,R,M,house,102,1942.0,ssa,,,,M
2482,Charles,Hatcher,D,M,house,102,1939.0,ssa,,,,M
2483,James,Hayes,D,M,house,102,1946.0,ssa,,,,M
2484,Charles,Hayes,D,M,house,102,1918.0,ipums,,,,M
2485,Joel,Hefley,R,M,house,102,1935.0,ssa,,,,M
2486,Bill,Hefner,D,M,house,102,1930.0,ssa,,,,M
2487,Paul,Henry,R,M,house,102,1942.0,ssa,,,,M
2488,Wally,Herger,R,M,house,102,1945.0,ssa,,,,M
2490,Peter,Hoagland,D,M,house,102,1941.0,ssa,,,,M
2491,David,Hobson,R,M,house,102,1936.0,ssa,,,,M
2492,George,Hochbrueckner,D,M,house,102,1938.0,ssa,,,,M
2496,Frank,Horton,R,M,house,102,1919.0,ipums,,,,M
2497,Amory,Houghton,R,M,house,102,1926.0,ipums,,,,M
2498,Steny,Hoyer,D,M,house,102,1939.0,ssa,,,,M
2500,Thomas,Huckaby,D,M,house,102,1941.0,ssa,,,,M
2501,William,Hughes,D,M,house,102,1932.0,ssa,,,,M
2502,Duncan,Hunter,R,M,house,102,1948.0,ssa,,,,M
2503,Earl,Hutto,D,M,house,102,1926.0,ipums,,,,M
2504,Henry,Hyde,R,M,house,102,1924.0,ipums,,,,M
2505,James,Inhofe,R,M,house,102,1934.0,ssa,,,,M
2506,Andrew,Ireland,R,M,house,102,1930.0,ssa,,,,M
2507,Andrew,Jacobs,D,M,house,102,1932.0,ssa,,,,M
2509,William,Jefferson,D,M,house,102,1947.0,ssa,,,,M
2510,Edgar,Jenkins,D,M,house,102,1933.0,ssa,,,,M
2511,Tim,Johnson,D,M,house,102,1946.0,ssa,,,,M
2512,Sam,Johnson,R,M,house,102,1930.0,ssa,,,,M
2513,Nancy,Johnson,R,F,house,102,1935.0,ssa,,,,F
2514,Harry,Johnston,D,M,house,102,1931.0,ssa,,,,M
2515,Walter,Jones,D,M,house,102,1913.0,ipums,,,,M
2517,James,Jontz,D,M,house,102,1951.0,ssa,,,,M
2518,Paul,Kanjorski,D,M,house,102,1937.0,ssa,,,,M
2519,Marcy,Kaptur,D,F,house,102,1946.0,ssa,,,,F
2520,John,Kasich,R,M,house,102,1952.0,ssa,,,,M
2521,Joseph,Kennedy,D,M,house,102,1952.0,ssa,,,,M
2522,Barbara,Kennelly,D,F,house,102,1936.0,ssa,,,,F
2523,Dale,Kildee,D,M,house,102,1929.0,ipums,,,,M
2524,Gerald,Kleczka,D,M,house,102,1943.0,ssa,,,,M
2525,Scott,Klug,R,M,house,102,1953.0,ssa,,,,M
2526,James,Kolbe,R,M,house,102,1942.0,ssa,,,,M
2527,Joseph,Kolter,D,M,house,102,1926.0,ipums,,,,M
2528,Michael,Kopetski,D,M,house,102,1949.0,ssa,,,,M
2529,Peter,Kostmayer,D,M,house,102,1946.0,ssa,,,,M
2530,Jon,Kyl,R,M,house,102,1942.0,ssa,,,,M
2531,John,LaFalce,D,M,house,102,1939.0,ssa,,,,M
2532,Robert,Lagomarsino,R,M,house,102,1926.0,ipums,,,,M
2533,H. Martin,Lancaster,D,M,house,102,1943.0,ssa,,,,M
2534,Tom,Lantos,D,M,house,102,1928.0,ipums,,,,M
2535,Larry,LaRocco,D,M,house,102,1946.0,ssa,,,,M
2536,Gregory,Laughlin,D,M,house,102,1942.0,ssa,,,,M
2537,James,Leach,R,M,house,102,1942.0,ssa,,,,M
2538,William,Lehman,D,M,house,102,1913.0,ipums,,,,M
2539,Richard,Lehman,D,M,house,102,1948.0,ssa,,,,M
2541,Sander,Levin,D,M,house,102,1931.0,ssa,,,,M
2543,John,Lewis,D,M,house,102,1940.0,ssa,,,,M
2544,Jerry,Lewis,R,M,house,102,1934.0,ssa,,,,M
2545,Thomas,Lewis,R,M,house,102,1924.0,ipums,,,,M
2546,James,Lightfoot,R,M,house,102,1938.0,ssa,,,,M
2547,William,Lipinski,D,M,house,102,1937.0,ssa,,,,M
2548,Bob,Livingston,R,M,house,102,1943.0,ssa,,,,M
2549,Marilyn,Lloyd,D,F,house,102,1929.0,ipums,,,,F
2550,Jill,Long Thompson,D,F,house,102,1952.0,ssa,,,,F
2551,William,Lowery,R,M,house,102,1947.0,ssa,,,,M
2552,Nita,Lowey,D,F,house,102,1937.0,ssa,,,,F
2553,Charles,Luken,D,M,house,102,1951.0,ssa,,,,M
2554,Ronald,Machtley,R,M,house,102,1948.0,ssa,,,,M
